user_story_id,user_story_description,stakeholder_role,complexity,moscow_category,dependencies,weighted_score,final_priority,project_stage,timestamp,outcome
61,"7.As a high net worth individual who values privacy, I want the banking system to provide top-level security features like biometric authentication, advanced encryption, strict data protection policies, and a dedicated customer service team that can handle my unique needs so that my financial information is kept safe and secure.",Customer,50,Won’t Have,,10.0,Low,Planning,2024-11-02 12:33:41.308674,Deferred
63,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-11-01 12:33:41.308674,Deferred
65,"The banking system should have biometric authentication features such as facial recognition or fingerprint scanning, in addition to traditional login methods like passwords.",General User,23,Should Have,,10.3,Medium,Planning,2024-10-31 12:33:41.308674,Approved
66,The system should use advanced encryption methods to protect customer data from cyber attacks or breaches.,Customer,16,Should Have,,9.6,Medium,Planning,2024-10-30 12:33:41.308674,Approved
67,"The banking system should have strict data protection policies in place, such as regular data backups and secure data storage methods.",General User,21,Should Have,,10.1,Medium,Planning,2024-10-29 12:33:41.308674,Approved
68,The customer service team should have expertise in handling high net worth individuals and be able to provide personalized attention and support as needed.,Customer,24,Should Have,,10.4,Medium,Planning,2024-10-28 12:33:41.308674,Approved
71,"8.As a freelancer with variable income, I want the banking system to offer flexible account options, customizable notifications about transactions, real-time reporting of my balance, and the ability to categorize my expenses so that I can manage my finances more effectively and have a better understanding of my cash flow.",General User,50,Won’t Have,,10.0,Low,Planning,2024-10-27 12:33:41.308674,Deferred
73,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-10-26 12:33:41.308674,Deferred
75,The banking system should allow the freelancer to choose from a range of account options based on their income fluctuations.,General User,20,Should Have,,10.0,Medium,Planning,2024-10-25 12:33:41.308674,Approved
76,"The system should provide customizable notifications that can alert the freelancer about transactions, account balance, and other relevant updates.",General User,19,Should Have,,9.9,Medium,Planning,2024-10-24 12:33:41.308674,Approved
77,"The banking system should provide real-time reporting of the freelancer's balance, with the option to view past transactions.",General User,18,Should Have,,9.8,Medium,Planning,2024-10-23 12:33:41.308674,Approved
78,"The system should provide the ability to categorize expenses, helping the freelancer to understand where their money is going and making it easier to file taxes.",General User,26,Should Have,,10.6,Medium,Planning,2024-10-22 12:33:41.308674,Approved
81,"9.As a young adult who is just starting to build credit, I want the banking system to offer educational resources about credit building, low interest rates on loans, credit cards with easy-to-understand terms, and personalized advice from financial experts so that I can build my credit score and make informed financial decisions.",General User,52,Won’t Have,,10.2,Low,Planning,2024-10-21 12:33:41.308674,Deferred
83,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-10-20 12:33:41.308674,Deferred
85,"The banking system provides clear and accessible educational resources on credit building, including information on credit scores, credit reports, and how to improve credit history.",General User,25,Won’t Have,,7.5,Low,Planning,2024-10-19 12:33:41.308674,Deferred
86,"Loan products offered by the banking system have low interest rates and are tailored to the needs of young adults, such as small loan amounts and flexible repayment terms.",General User,29,Won’t Have,,7.9,Low,Planning,2024-10-18 12:33:41.308674,Deferred
87,"Credit cards offered by the banking system have transparent terms and conditions, including information on fees, interest rates, and rewards programs, and are designed to help young adults establish and improve their credit.",General User,33,Won’t Have,,8.3,Low,Planning,2024-10-17 12:33:41.308674,Deferred
88,"The banking system offers personalized advice from financial experts, including guidance on budgeting, debt management, and credit building strategies.",General User,19,Won’t Have,,6.9,Low,Planning,2024-10-16 12:33:41.308674,Deferred
91,"10.As a user with a physical disability, I want the banking system to be accessible and easy to use with assistive technologies like screen readers, so that I can manage my finances independently.",General User,33,Won’t Have,Related to another feature,8.3,Low,Planning,2024-10-15 12:33:41.308674,Deferred
93,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-10-14 12:33:41.308674,Deferred
95,"The banking system should be compatible with common screen readers, such as JAWS and NVDA.",General User,15,Should Have,,9.5,Medium,Planning,2024-10-13 12:33:41.308674,Approved
96,"All buttons, forms, and other interactive elements in the system should be labeled and identifiable by screen readers.",General User,18,Should Have,,9.8,Medium,Planning,2024-10-12 12:33:41.308674,Approved
97,The system should have high contrast color schemes and allow for adjustments to font size and style.,General User,17,Should Have,,9.7,Medium,Planning,2024-10-11 12:33:41.308674,Approved
98,"Keyboard navigation should be available for all features of the system, allowing users to navigate without a mouse.",General User,18,Should Have,,9.8,Medium,Planning,2024-10-10 12:33:41.308674,Approved
101,"11.As a student with limited income, I want the banking system to have low or no fees, so that I can save money and not be charged unnecessary costs.",Student,29,Won’t Have,,7.9,Low,Planning,2024-10-09 12:33:41.308674,Deferred
103,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-10-08 12:33:41.308674,Deferred
105,"The banking system should clearly display all applicable fees and charges, and provide an easy-to-understand breakdown of how they are calculated.",General User,21,Should Have,,10.1,Medium,Planning,2024-10-07 12:33:41.308674,Approved
106,"The banking system should offer fee waivers or reduced fees for students who meet certain eligibility criteria, such as maintaining a minimum account balance or enrolling in a specific program.",Student,30,Should Have,,11.0,Medium,Planning,2024-10-06 12:33:41.308674,Approved
107,"The banking system should have no hidden fees, and any changes to fees or charges should be communicated clearly and in advance.",General User,22,Should Have,,10.2,Medium,Planning,2024-10-05 12:33:41.308674,Approved
108,The banking system should offer easy-to-use budgeting tools and resources to help students manage their finances effectively and avoid unnecessary fees.,Student,21,Should Have,,10.1,Medium,Planning,2024-10-04 12:33:41.308674,Approved
112,"12.As a business owner, I want the banking system to offer efficient and reliable payment processing, so that I can receive and make payments quickly and securely.",General User,27,Won’t Have,,7.7,Low,Planning,2024-10-03 12:33:41.308674,Deferred
114,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-10-02 12:33:41.308674,Deferred
116,"The banking system should be able to process payments quickly and efficiently, with minimal downtime or errors.",General User,17,Should Have,,9.7,Medium,Planning,2024-10-01 12:33:41.308674,Approved
117,"The system should support a variety of payment methods, including credit cards, debit cards, and electronic transfers.",General User,17,Should Have,,9.7,Medium,Planning,2024-09-30 12:33:41.308674,Approved
118,The system should provide robust security features to protect against fraud and unauthorized access to sensitive financial data.,General User,18,Should Have,,9.8,Medium,Planning,2024-09-29 12:33:41.308674,Approved
119,"The system should offer user-friendly tools for managing and tracking payments, including reporting features and alerts for suspicious activity.",General User,19,Should Have,,9.9,Medium,Planning,2024-09-28 12:33:41.308674,Approved
122,"13.As a frequent traveller, I want the banking system to have a large network of ATMs and branches in different countries, so that I can easily access my money while abroad.",General User,31,Won’t Have,,8.1,Low,Planning,2024-09-27 12:33:41.308674,Deferred
124,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-09-26 12:33:41.308674,Deferred
126,"The banking system should have a large network of ATMs and branches in different countries, easily accessible by the user.",General User,20,Should Have,,10.0,Medium,Planning,2024-09-25 12:33:41.308674,Approved
127,The user should be able to check the location of the nearest ATM or branch through the mobile app or website.,General User,21,Should Have,,10.1,Medium,Planning,2024-09-24 12:33:41.308674,Approved
128,The system should provide information on any additional fees or charges for using ATMs or branches abroad.,General User,17,Should Have,,9.7,Medium,Planning,2024-09-23 12:33:41.308674,Approved
129,"The user should be able to make transactions and withdraw cash in the local currency of the country they are visiting, without any inconvenience.",General User,24,Should Have,,10.4,Medium,Planning,2024-09-22 12:33:41.308674,Approved
132,"14.As a high net worth individual, I want the banking system to offer exclusive benefits and services, such as personalized investment advice and premium credit cards, so that I can make the most of my financial resources.",General User,37,Won’t Have,,8.7,Low,Planning,2024-09-21 12:33:41.308674,Deferred
134,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-09-20 12:33:41.308674,Deferred
136,The banking system should offer personalized investment advice that is tailored to the customer's financial goals and risk tolerance.,Customer,19,Should Have,,9.9,Medium,Planning,2024-09-19 12:33:41.308674,Approved
137,The banking system should offer premium credit cards with exclusive benefits and rewards.,General User,13,Should Have,,9.3,Medium,Planning,2024-09-18 12:33:41.308674,Approved
138,The banking system should have a dedicated customer service team that is trained to handle the unique needs of high net worth individuals.,Customer,23,Should Have,,10.3,Medium,Planning,2024-09-17 12:33:41.308674,Approved
139,The banking system should provide regular updates on the performance of the customer's investments and financial portfolio.,Customer,17,Should Have,,9.7,Medium,Planning,2024-09-16 12:33:41.308674,Approved
142,"15.As a privacy-conscious user, I want the banking system to have strong data protection policies and to not share my personal information with third parties, so that my privacy is respected and my financial data is kept secure.",General User,38,Won’t Have,,8.8,Low,Planning,2024-09-15 12:33:41.308674,Deferred
144,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-09-14 12:33:41.308674,Deferred
146,The banking system should clearly outline its data protection policies and procedures for handling personal and financial information.,General User,18,Should Have,,9.8,Medium,Planning,2024-09-13 12:33:41.308674,Approved
147,The system should not share user data with any third-party entities without explicit consent from the user.,General User,17,Should Have,,9.7,Medium,Planning,2024-09-12 12:33:41.308674,Approved
148,The system should have strong encryption protocols to protect user data from unauthorized access.,General User,14,Should Have,,9.4,Medium,Planning,2024-09-11 12:33:41.308674,Approved
149,The system should regularly update its security measures to protect against emerging threats and vulnerabilities.,General User,15,Should Have,,9.5,Medium,Planning,2024-09-10 12:33:41.308674,Approved
152,"16.As a busy professional, I want the banking system to offer convenient online and mobile banking options, so that I can manage my finances on-the-go and save time.",General User,28,Won’t Have,,7.8,Low,Planning,2024-09-09 12:33:41.308674,Deferred
154,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-09-08 12:33:41.308674,Deferred
156,The online and mobile banking interfaces should be easy to navigate and user-friendly.,General User,13,Should Have,,9.3,Medium,Planning,2024-09-07 12:33:41.308674,Approved
157,Transactions should be processed quickly and accurately through online and mobile banking.,General User,12,Should Have,,9.2,Medium,Planning,2024-09-06 12:33:41.308674,Approved
158,The mobile app should have push notifications for account activity and updates.,General User,12,Should Have,,9.2,Medium,Planning,2024-09-05 12:33:41.308674,Approved
159,The online and mobile banking platforms should be available 24/7 for maximum convenience.,General User,13,Should Have,,9.3,Medium,Planning,2024-09-04 12:33:41.308674,Approved
162,"17.As a retired person, I want the banking system to offer user-friendly interfaces and clear communication, so that I can easily understand my financial statements and transactions.",General User,27,Won’t Have,,7.7,Low,Planning,2024-09-03 12:33:41.308674,Deferred
164,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-09-02 12:33:41.308674,Deferred
166,"The banking system provides clear and concise information about account balances, transactions, and fees in easy-to-understand language.",General User,17,Won’t Have,,6.7,Low,Planning,2024-09-01 12:33:41.308674,Deferred
167,"The system has a user-friendly interface that is easy to navigate and understand, with clearly labeled buttons and icons.",General User,19,Won’t Have,,6.9,Low,Planning,2024-08-31 12:33:41.308674,Deferred
168,"The system offers personalized support from customer service representatives who are patient and helpful, and can assist with any questions or issues.",Customer,22,Won’t Have,,7.2,Low,Planning,2024-08-30 12:33:41.308674,Deferred
169,"The system allows for easy access to financial planning and retirement savings tools, including retirement account options and investment advice.",General User,20,Won’t Have,,7.0,Low,Planning,2024-08-29 12:33:41.308674,Deferred
172,"18.As a senior citizen living on a fixed income, I want the banking system to offer low fees, easy-to-understand terms and conditions, user-friendly online banking options, and friendly customer service representatives who can answer my questions and provide assistance when needed so that I can manage my finances confidently.",Customer,49,Won’t Have,,9.9,Low,Planning,2024-08-28 12:33:41.308674,Deferred
174,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-08-27 12:33:41.308674,Deferred
176,"The banking system must offer low fees for basic transactions such as withdrawals, transfers, and bill payments.",General User,17,Must Have,,11.7,High,Planning,2024-08-26 12:33:41.308674,Approved
177,"The terms and conditions of the banking system must be written in clear and concise language, without using complex financial jargon.",General User,21,Must Have,,12.1,High,Planning,2024-08-25 12:33:41.308674,Approved
178,"The online banking platform should have a simple and user-friendly interface that is easy to navigate, with large fonts and clear instructions.",General User,22,Should Have,,10.2,Medium,Planning,2024-08-24 12:33:41.308674,Approved
179,"Customer service representatives should be patient and friendly, with the ability to answer questions and provide assistance in a clear and concise manner.",Customer,23,Should Have,,10.3,Medium,Planning,2024-08-23 12:33:41.308674,Approved
182,"19.As a busy professional who values time and convenience, I want the banking system to offer a mobile app with a user-friendly interface, real-time notifications for transactions and account balances, easy-to-use bill payment options, and the ability to deposit checks using my smartphone so that I can manage my finances on-the-go.",General User,51,Won’t Have,,10.1,Low,Planning,2024-08-22 12:33:41.308674,Deferred
184,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-08-21 12:33:41.308674,Deferred
186,The mobile app should have a simple and intuitive interface with clear navigation and easily accessible features.,General User,17,Should Have,,9.7,Medium,Planning,2024-08-20 12:33:41.308674,Approved
187,Real-time notifications for transactions and account balances should be provided to keep the user informed.,General User,15,Should Have,,9.5,Medium,Planning,2024-08-19 12:33:41.308674,Approved
188,Bill payment options should be easy to use with the ability to set up recurring payments if needed.,General User,18,Should Have,,9.8,Medium,Planning,2024-08-18 12:33:41.308674,Approved
189,The mobile app should have a feature that allows users to deposit checks using their smartphones for added convenience.,General User,19,Should Have,,9.9,Medium,Planning,2024-08-17 12:33:41.308674,Approved
193,"20.As a small business owner who values transparency, I want the banking system to provide detailed reports on transaction history, offer customizable alerts for transactions, provide secure access to multiple users with different levels of authorization, and offer options for exporting data to accounting software so that I can keep track of my finances easily and accurately.",General User,57,Won’t Have,,10.7,Low,Planning,2024-08-16 12:33:41.308674,Deferred
195,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-08-15 12:33:41.308674,Deferred
197,"The banking system should provide detailed transaction history reports with the ability to filter by date, type, and amount.",General User,19,Should Have,,9.9,Medium,Planning,2024-08-14 12:33:41.308674,Approved
198,The banking system should allow customizable alerts for important transactions such as large payments or low balances.,General User,17,Should Have,,9.7,Medium,Planning,2024-08-13 12:33:41.308674,Approved
199,The banking system should offer multiple user access with different levels of authorization for enhanced security.,General User,16,Should Have,,9.6,Medium,Planning,2024-08-12 12:33:41.308674,Approved
200,The banking system should provide the ability to export data to popular accounting software such as Quickbooks or Xero.,General User,19,Should Have,,9.9,Medium,Planning,2024-08-11 12:33:41.308674,Approved
203,"21.As a socially conscious individual who wants to support environmentally friendly practices, I want the banking system to offer paperless statements and receipts, partner with eco-friendly organizations, offer credit cards that donate a portion of the profits to environmental causes, and provide educational resources about sustainable finance so that I can align my financial decisions with my values.",General User,58,Won’t Have,,10.8,Low,Planning,2024-08-10 12:33:41.308674,Deferred
205,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-08-09 12:33:41.308674,Deferred
207,"The banking system offers a paperless option for statements and receipts, reducing paper waste and supporting environmentally friendly practices.",General User,19,Won’t Have,,6.9,Low,Planning,2024-08-08 12:33:41.308674,Deferred
208,"The banking system partners with eco-friendly organizations, such as those that work on conservation, sustainable energy, or reducing carbon emissions, to support these causes and make a positive impact on the environment.",General User,32,Won’t Have,,8.2,Low,Planning,2024-08-07 12:33:41.308674,Deferred
209,"The banking system offers credit cards that donate a portion of the profits to environmental causes, allowing users to support these causes with their everyday spending.",General User,26,Won’t Have,,7.6,Low,Planning,2024-08-06 12:33:41.308674,Deferred
210,"The banking system provides educational resources about sustainable finance, such as tips for reducing energy usage or investing in environmentally responsible companies, to help users align their financial decisions with their values and make a positive impact on the environment.",General User,40,Won’t Have,,9.0,Low,Planning,2024-08-05 12:33:41.308674,Deferred
214,"22.As a teacher, I want to be able to create and share lesson plans with my colleagues, so that we can collaborate and improve our teaching practices.",Teacher,27,Won’t Have,,7.7,Low,Planning,2024-08-04 12:33:41.308674,Deferred
216,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-08-03 12:33:41.308674,Deferred
218,"The platform should allow for easy creation of lesson plans, with templates available to streamline the process.",General User,17,Should Have,,9.7,Medium,Planning,2024-08-02 12:33:41.308674,Approved
219,"The platform should have a feature to easily share lesson plans with colleagues, with the ability to restrict access to certain users or groups.",General User,24,Should Have,,10.4,Medium,Planning,2024-08-01 12:33:41.308674,Approved
220,"The platform should allow for collaboration on lesson plans, with features such as commenting and editing permissions.",General User,17,Should Have,,9.7,Medium,Planning,2024-07-31 12:33:41.308674,Approved
221,"The platform should provide resources and tools for teachers to improve their lesson plans, such as sample lesson plans, instructional videos, and best practices guides.",Teacher,25,Should Have,,10.5,Medium,Planning,2024-07-30 12:33:41.308674,Approved
225,"23.As a student, I want to be able to submit assignments online, so that I can easily track my progress and receive feedback from my teachers.",Teacher,26,Won’t Have,,7.6,Low,Planning,2024-07-29 12:33:41.308674,Deferred
227,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-07-28 12:33:41.308674,Deferred
229,"The platform should support various file formats, such as PDFs, Word documents, and images, for assignment submission.",General User,17,Should Have,,9.7,Medium,Planning,2024-07-27 12:33:41.308674,Approved
230,The platform should have a clear and user-friendly interface for assignment submission and tracking.,General User,14,Should Have,,9.4,Medium,Planning,2024-07-26 12:33:41.308674,Approved
231,"Teachers should receive notifications when students submit assignments, and they should be able to provide feedback and grades online.",Teacher,19,Should Have,,9.9,Medium,Planning,2024-07-25 12:33:41.308674,Approved
232,The platform should have a secure system to prevent plagiarism and protect student information.,Student,14,Should Have,,9.4,Medium,Planning,2024-07-24 12:33:41.308674,Approved
236,"24.As a parent, I want to be able to view my child's academic progress in real-time, so that I can stay informed and support their learning at home.",General User,28,Won’t Have,,7.8,Low,Planning,2024-07-23 12:33:41.308674,Deferred
238,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-07-22 12:33:41.308674,Deferred
240,"The online platform should provide real-time updates on the student's academic progress, including grades, attendance, and any teacher comments.",Teacher,19,Should Have,,9.9,Medium,Planning,2024-07-21 12:33:41.308674,Approved
241,The platform should be user-friendly and accessible to parents with varying levels of technical proficiency.,General User,15,Should Have,,9.5,Medium,Planning,2024-07-20 12:33:41.308674,Approved
242,The platform should offer the ability to communicate with teachers and school administrators through messaging or email.,Teacher,17,Should Have,,9.7,Medium,Planning,2024-07-19 12:33:41.308674,Approved
243,"The platform should maintain the privacy and security of student information, such as grades and attendance records.",Student,17,Should Have,,9.7,Medium,Planning,2024-07-18 12:33:41.308674,Approved
246,"25.As an administrator, I want to be able to generate reports on student performance and attendance, so that I can identify areas for improvement and make data-driven decisions.",Student,28,Won’t Have,,7.8,Low,Planning,2024-07-17 12:33:41.308674,Deferred
248,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-07-16 12:33:41.308674,Deferred
250,The system must allow administrators to generate reports on student performance and attendance.,Student,13,Must Have,,11.3,High,Planning,2024-07-15 12:33:41.308674,Approved
251,The reports must be accurate and up-to-date.,General User,7,Must Have,,10.7,High,Planning,2024-07-14 12:33:41.308674,Approved
252,The reports must be easy to understand and present data in a clear manner.,General User,14,Must Have,,11.4,High,Planning,2024-07-13 12:33:41.308674,Approved
253,"The system must allow administrators to filter and customize reports based on specific criteria, such as grade level, subject, or time period.",General User,22,Must Have,,12.2,High,Planning,2024-07-12 12:33:41.308674,Approved
256,"26.As a student with a visual impairment, I want to be able to access course materials in alternative formats, such as Braille or audio, so that I can fully participate in class.",Student,32,Won’t Have,,8.2,Low,Planning,2024-07-11 12:33:41.308674,Deferred
258,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-07-10 12:33:41.308674,Deferred
260,The platform should provide a feature to convert course materials into alternative formats such as Braille or audio.,General User,18,Should Have,,9.8,Medium,Planning,2024-07-09 12:33:41.308674,Approved
261,The platform should have a clear and easy-to-use interface for accessing alternative formats.,General User,13,Should Have,,9.3,Medium,Planning,2024-07-08 12:33:41.308674,Approved
262,The alternative formats should be available in a timely manner and should not cause delays or interruptions to the student's learning.,Student,21,Should Have,,10.1,Medium,Planning,2024-07-07 12:33:41.308674,Approved
263,The platform should comply with accessibility standards to ensure that it is compatible with screen readers and other assistive technologies.,General User,20,Should Have,,10.0,Medium,Planning,2024-07-06 12:33:41.308674,Approved
267,"27.As a teacher, I want to be able to easily communicate with parents and guardians, so that we can work together to support student success.",Teacher,25,Won’t Have,,7.5,Low,Planning,2024-07-05 12:33:41.308674,Deferred
269,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-07-04 12:33:41.308674,Deferred
271,The platform must provide a secure and reliable messaging system for teachers to communicate with parents.,Teacher,16,Must Have,,11.6,High,Planning,2024-07-03 12:33:41.308674,Approved
272,The platform should offer the option to share student progress reports and other relevant information with parents.,Student,17,Should Have,,9.7,Medium,Planning,2024-07-02 12:33:41.308674,Approved
273,The platform should have user-friendly interfaces for both teachers and parents to easily navigate and access information.,Teacher,17,Should Have,,9.7,Medium,Planning,2024-07-01 12:33:41.308674,Approved
274,The platform should offer the option to schedule parent-teacher conferences and other meetings through the platform for convenience.,Teacher,18,Should Have,,9.8,Medium,Planning,2024-06-30 12:33:41.308674,Approved
278,"28.As a student athlete, I want to be able to view my game schedule and practice times online, so that I can plan my schedule and balance my athletic and academic responsibilities.",Student,32,Won’t Have,,8.2,Low,Planning,2024-06-29 12:33:41.308674,Deferred
280,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-06-28 12:33:41.308674,Deferred
282,The game schedule and practice times should be accessible and easily visible on the student-athlete's online portal.,Student,17,Should Have,,9.7,Medium,Planning,2024-06-27 12:33:41.308674,Approved
283,The portal should be updated in real-time with any changes to the schedule or practice times.,General User,16,Should Have,,9.6,Medium,Planning,2024-06-26 12:33:41.308674,Approved
