Domain,Mobile,Desktop,Web,IoT,Expected Team Size
4,0,0,1,1,1.4060338443116829
4,1,0,0,1,1.1093193492253204
4,1,1,1,0,-0.374253126206492
3,1,1,1,0,0.9609621016821391
1,1,0,0,0,-0.374253126206492
4,0,0,0,1,-0.5226103737496732
3,0,0,1,1,-1.1160393639223982
1,0,1,1,1,1.1093193492253204
1,1,0,1,1,-0.6709676212928545
3,1,0,0,0,1.2576765967685015
3,1,1,0,0,-0.374253126206492
3,1,0,0,1,-0.5226103737496732
3,1,0,1,0,-1.2643966114655794
4,1,1,1,1,-0.9676821163792169
2,1,0,1,1,-0.5226103737496732
3,1,1,1,0,0.0708186164230517
4,0,1,0,0,0.9609621016821391
2,1,1,0,0,-0.6709676212928545
1,0,1,1,0,-1.1160393639223982
4,1,1,1,0,-0.8193248688360357
3,1,1,1,0,-0.5226103737496732
3,0,0,1,0,-1.1160393639223982
4,0,1,1,0,0.8126048541389579
4,1,1,1,1,0.0708186164230517
2,1,0,0,0,-0.374253126206492
4,0,0,0,1,0.0708186164230517
1,0,1,1,1,-0.07753863112012951
2,1,1,1,1,-0.6709676212928545
2,1,1,1,0,0.0708186164230517
4,1,1,0,1,-1.1160393639223982
1,1,0,1,0,-1.1160393639223982
1,0,1,0,0,-1.2643966114655794
2,0,1,1,0,1.554391091854864
4,0,1,0,0,0.6642476065957766
4,1,1,0,0,0.3675331115094142
1,1,1,0,0,0.5158903590525954
2,1,0,0,0,1.8511055869412265
3,1,1,0,0,-1.2643966114655794
1,1,0,1,0,-0.374253126206492
4,1,1,1,1,1.4060338443116829
1,1,1,0,1,1.554391091854864
3,1,1,0,1,1.4060338443116829
4,0,1,0,0,1.2576765967685015
1,1,1,1,0,0.0708186164230517
1,1,0,1,1,-0.5226103737496732
4,0,0,0,1,1.554391091854864
4,0,0,1,0,0.9609621016821391
1,1,0,0,1,-0.374253126206492
1,0,1,0,1,0.9609621016821391
3,1,1,0,1,-0.9676821163792169
1,1,0,1,1,1.554391091854864
1,1,0,1,1,-0.8193248688360357
3,1,0,1,0,1.554391091854864
2,1,1,1,0,0.3675331115094142
4,1,1,1,0,1.1093193492253204
4,1,1,1,1,-0.8193248688360357
4,1,0,0,0,1.4060338443116829
4,1,1,1,1,0.21917586396623295
2,1,0,0,1,-1.2643966114655794
4,1,1,1,0,1.4060338443116829
4,1,1,0,0,-1.1160393639223982
2,1,1,0,0,1.554391091854864
4,1,1,0,1,-0.22589587866331076
4,0,1,1,0,-1.1160393639223982
4,1,1,0,0,1.554391091854864
3,1,1,1,1,-0.22589587866331076
3,1,0,1,1,-1.2643966114655794
3,1,1,0,1,0.3675331115094142
4,1,1,0,0,-1.2643966114655794
1,0,1,0,0,-0.5226103737496732
1,1,1,1,0,0.6642476065957766
1,1,1,1,0,0.9609621016821391
2,1,1,1,0,-0.374253126206492
4,0,1,1,0,1.8511055869412265
3,1,1,1,1,-0.9676821163792169
3,1,0,1,1,1.1093193492253204
2,1,0,0,0,1.4060338443116829
4,0,1,1,0,-0.8193248688360357
4,1,0,1,0,-1.1160393639223982
3,1,0,0,1,0.9609621016821391
3,1,1,1,0,-1.2643966114655794
4,1,1,0,1,-0.8193248688360357
1,0,1,1,0,-0.22589587866331076
2,1,0,1,1,-0.374253126206492
1,0,1,0,1,-1.2643966114655794
3,1,0,0,0,-0.5226103737496732
2,1,1,1,0,1.7027483393980452
4,0,0,0,1,0.9609621016821391
4,0,0,1,1,1.2576765967685015
1,0,0,0,1,-1.2643966114655794
4,1,1,0,1,0.0708186164230517
3,1,1,0,1,1.1093193492253204
1,0,0,1,0,-1.1160393639223982
2,1,1,1,1,0.5158903590525954
2,1,0,1,1,0.6642476065957766
1,1,1,1,0,1.8511055869412265
3,0,0,0,1,-1.1160393639223982
4,1,1,1,1,0.5158903590525954
4,0,0,1,1,-1.1160393639223982
3,1,0,1,0,0.9609621016821391
2,1,0,0,0,-0.9676821163792169
4,0,0,0,1,-1.1160393639223982
3,0,1,1,0,-1.1160393639223982
2,0,1,0,0,-0.8193248688360357
1,0,1,0,0,-0.374253126206492
1,1,1,0,0,-0.6709676212928545
4,0,1,1,1,0.8126048541389579
3,1,1,1,1,-1.1160393639223982
1,0,0,0,1,0.8126048541389579
4,1,0,1,0,-1.2643966114655794
2,1,0,0,0,-0.9676821163792169
3,1,0,0,1,-0.6709676212928545
4,0,0,1,1,-1.2643966114655794
4,1,0,1,1,-0.8193248688360357
2,1,0,0,0,1.554391091854864
1,0,0,1,0,1.1093193492253204
4,1,0,0,1,1.2576765967685015
2,1,0,1,1,-0.22589587866331076
2,1,0,0,0,0.8126048541389579
4,0,1,1,1,0.8126048541389579
3,1,0,0,1,0.0708186164230517
2,1,0,0,0,-0.07753863112012951
1,1,1,1,0,1.554391091854864
1,0,0,1,0,-1.1160393639223982
3,1,1,1,1,0.0708186164230517
4,1,1,0,0,-1.2643966114655794
3,1,1,1,0,1.8511055869412265
4,1,1,1,1,-0.6709676212928545
2,1,0,0,0,1.4060338443116829
3,1,1,1,0,-0.8193248688360357
4,1,0,1,1,-0.07753863112012951
2,1,0,0,0,-0.9676821163792169
2,1,0,1,1,0.3675331115094142
4,1,0,0,0,1.8511055869412265
4,0,0,1,1,1.4060338443116829
4,1,1,0,1,0.9609621016821391
3,1,0,1,0,-0.374253126206492
3,1,0,1,0,0.6642476065957766
4,0,1,1,0,0.5158903590525954
2,1,0,0,0,-1.2643966114655794
1,1,0,0,0,-1.1160393639223982
4,1,1,1,1,1.8511055869412265
1,0,0,1,0,-1.2643966114655794
4,0,0,1,1,-1.1160393639223982
3,1,1,0,1,-0.5226103737496732
3,1,0,0,0,-1.1160393639223982
4,1,0,1,0,0.6642476065957766
3,1,1,0,0,0.21917586396623295
3,1,1,1,1,-1.1160393639223982
3,1,1,1,1,-0.6709676212928545
4,1,1,1,1,-0.8193248688360357
1,1,0,0,0,1.8511055869412265
3,1,0,1,0,0.0708186164230517
3,1,1,0,1,0.9609621016821391
4,1,1,0,0,1.4060338443116829
3,1,0,0,0,1.2576765967685015
2,1,1,1,1,-1.1160393639223982
1,0,1,1,1,-0.22589587866331076
4,1,0,1,1,-0.07753863112012951
2,1,0,1,0,-0.6709676212928545
1,1,1,1,0,1.1093193492253204
4,0,0,1,0,-0.9676821163792169
4,1,1,1,1,0.8126048541389579
1,0,0,1,1,0.3675331115094142
3,1,0,0,1,1.2576765967685015
4,1,1,1,1,0.5158903590525954
1,0,1,1,1,-0.374253126206492
4,0,1,0,0,-1.1160393639223982
4,1,1,1,1,0.6642476065957766
2,1,1,1,1,-0.8193248688360357
3,1,0,1,0,0.9609621016821391
4,0,1,1,0,0.0708186164230517
1,1,0,1,1,-0.6709676212928545
1,1,1,1,0,-0.6709676212928545
2,1,0,1,1,-0.6709676212928545
2,1,0,1,1,-0.8193248688360357
4,1,1,0,0,1.2576765967685015
1,0,1,1,0,-0.6709676212928545
2,1,1,1,0,-0.8193248688360357
4,1,1,0,0,-1.1160393639223982
1,1,1,0,1,1.4060338443116829
3,1,1,1,0,-1.2643966114655794
3,1,1,0,1,-0.9676821163792169
1,1,1,0,0,-0.6709676212928545
4,0,1,1,1,-0.374253126206492
3,1,1,0,1,-0.22589587866331076
3,1,1,1,0,1.7027483393980452
1,0,0,1,0,-1.2643966114655794
2,0,0,1,0,-0.07753863112012951
4,0,0,0,1,-0.374253126206492
3,1,1,1,0,-0.22589587866331076
1,0,0,1,0,-1.1160393639223982
2,0,1,1,1,-0.374253126206492
3,1,1,1,1,1.4060338443116829
4,0,1,1,0,0.21917586396623295
3,1,0,0,1,-0.22589587866331076
3,1,1,0,1,1.7027483393980452
1,1,1,1,0,1.1093193492253204
2,1,0,0,1,-0.8193248688360357
1,1,0,0,0,-1.4127538590087605
3,1,0,0,0,-0.5226103737496732
3,1,0,0,0,-1.2643966114655794
1,1,0,0,0,-1.2643966114655794
1,0,0,0,1,-0.8193248688360357
3,0,0,1,1,0.3675331115094142
3,1,1,1,1,0.21917586396623295
3,1,0,1,1,0.0708186164230517
3,1,0,0,1,0.21917586396623295
1,0,1,0,0,-0.5226103737496732
4,1,1,1,1,0.9609621016821391
2,1,1,1,1,-1.2643966114655794
1,1,0,1,0,-1.2643966114655794
1,0,0,0,1,0.8126048541389579
2,1,0,1,1,-1.1160393639223982
2,1,1,1,1,0.9609621016821391
4,0,1,0,1,1.7027483393980452
4,1,0,0,1,0.9609621016821391
4,1,1,1,0,-1.2643966114655794
4,0,0,1,0,1.8511055869412265
2,1,0,0,0,0.0708186164230517
3,1,1,1,1,-0.9676821163792169
4,1,1,1,1,-0.9676821163792169
1,1,0,1,1,-0.6709676212928545
2,1,1,0,1,-0.9676821163792169
3,1,0,0,0,-0.07753863112012951
2,1,0,1,0,1.2576765967685015
4,1,1,1,1,-0.5226103737496732
1,1,1,0,0,-0.6709676212928545
2,1,0,1,1,-1.2643966114655794
2,0,1,1,0,0.6642476065957766
4,0,1,0,1,-1.2643966114655794
2,1,0,0,0,-0.22589587866331076
3,1,1,0,1,-0.6709676212928545
4,0,0,1,0,0.8126048541389579
4,1,0,1,1,0.0708186164230517
4,0,1,0,1,1.4060338443116829
4,0,1,1,1,-0.6709676212928545
4,0,1,0,1,1.554391091854864
4,1,0,0,0,1.2576765967685015
1,1,0,1,0,-1.1160393639223982
1,0,1,0,0,-0.374253126206492
1,1,0,0,0,-1.1160393639223982
2,1,1,1,1,-0.9676821163792169
4,0,0,0,1,1.554391091854864
2,1,1,0,0,0.3675331115094142
1,1,1,1,0,0.5158903590525954
4,0,1,0,1,-0.07753863112012951
1,0,1,0,1,0.6642476065957766
1,0,0,1,0,-1.1160393639223982
1,0,0,0,1,-1.4127538590087605
4,1,0,0,0,0.0708186164230517
4,0,1,1,1,-0.9676821163792169
4,0,0,1,0,0.8126048541389579
3,1,0,1,1,-0.374253126206492
4,1,1,1,1,-1.1160393639223982
2,1,0,1,0,0.5158903590525954
1,1,1,1,0,0.5158903590525954
4,1,1,1,1,1.554391091854864
3,0,1,0,0,-1.1160393639223982
3,1,1,0,0,-0.07753863112012951
2,1,1,1,0,0.0708186164230517
1,0,1,0,0,-0.8193248688360357
1,1,0,0,0,-1.1160393639223982
3,1,1,0,0,0.3675331115094142
4,1,1,1,1,-0.9676821163792169
1,1,0,1,0,-1.1160393639223982
4,1,1,1,1,-0.374253126206492
4,0,1,0,0,1.2576765967685015
2,1,1,0,0,1.2576765967685015
4,1,1,0,1,-0.6709676212928545
4,1,0,0,0,1.1093193492253204
4,0,1,0,1,-1.1160393639223982
1,0,0,1,0,-1.1160393639223982
4,0,1,0,1,0.6642476065957766
1,0,1,0,0,-1.4127538590087605
2,1,1,0,1,-1.1160393639223982
4,1,0,0,0,-1.1160393639223982
2,1,0,1,1,-0.22589587866331076
4,1,1,0,1,1.8511055869412265
4,1,1,0,1,-0.22589587866331076
4,1,1,1,1,0.3675331115094142
2,1,1,1,0,0.0708186164230517
2,1,1,0,0,1.2576765967685015
4,0,1,0,1,-1.1160393639223982
1,1,0,1,0,1.2576765967685015
3,1,0,0,0,-1.2643966114655794
3,1,1,0,0,-1.1160393639223982
4,1,0,1,1,0.9609621016821391
2,1,0,1,0,-0.374253126206492
1,1,1,1,0,-0.8193248688360357
2,1,1,0,0,-1.1160393639223982
3,1,1,0,0,1.8511055869412265
1,1,0,0,0,-1.2643966114655794
2,1,0,1,0,1.554391091854864
4,1,1,0,0,-1.1160393639223982
1,0,1,1,0,-0.374253126206492
1,0,1,1,0,0.3675331115094142
4,1,0,1,0,-1.2643966114655794
1,0,1,1,1,1.1093193492253204
3,1,1,0,0,-1.1160393639223982
2,1,0,1,1,1.554391091854864
3,1,0,0,0,1.7027483393980452
4,0,0,1,0,-0.9676821163792169
4,0,0,1,0,1.7027483393980452
4,1,1,0,1,1.1093193492253204
4,1,0,1,0,0.3675331115094142
3,1,0,0,1,-1.2643966114655794
3,1,1,1,0,-0.8193248688360357
3,0,1,1,0,-0.22589587866331076
2,0,1,0,0,0.3675331115094142
4,1,1,1,0,0.21917586396623295
1,1,1,1,0,0.0708186164230517
4,1,0,1,1,-1.2643966114655794
4,0,1,0,1,-0.8193248688360357
2,1,1,1,1,1.2576765967685015
2,1,1,1,0,0.8126048541389579
4,1,1,1,1,0.0708186164230517
1,1,1,1,0,-0.22589587866331076
1,0,1,0,0,-1.1160393639223982
3,1,1,1,0,-0.5226103737496732
4,1,0,1,1,0.8126048541389579
3,1,0,0,1,-0.8193248688360357
2,1,0,0,0,1.554391091854864
2,0,0,0,1,0.3675331115094142
4,0,1,0,0,-0.8193248688360357
4,1,1,0,0,-1.2643966114655794
2,0,0,0,1,-0.9676821163792169
1,0,1,1,0,-0.5226103737496732
2,1,0,1,0,-0.07753863112012951
4,1,1,1,1,0.5158903590525954
3,1,0,0,0,-0.6709676212928545
3,1,0,1,1,0.3675331115094142
3,1,1,0,0,-0.22589587866331076
2,1,1,0,1,1.1093193492253204
2,1,1,1,0,1.4060338443116829
2,1,0,1,1,0.9609621016821391
3,1,0,1,0,0.0708186164230517
2,1,1,0,1,0.9609621016821391
3,1,1,1,1,-0.07753863112012951
1,1,1,0,0,-0.6709676212928545
2,1,1,0,0,-0.6709676212928545
4,0,1,1,1,0.3675331115094142
3,1,0,1,1,0.9609621016821391
4,1,0,1,1,1.554391091854864
4,0,0,1,0,-1.2643966114655794
1,1,0,0,0,-1.1160393639223982
2,1,0,0,1,1.1093193492253204
4,1,0,1,1,0.3675331115094142
1,1,0,1,1,-0.8193248688360357
4,1,0,0,1,-0.8193248688360357
1,0,1,0,0,-0.8193248688360357
4,1,1,0,1,0.9609621016821391
4,0,0,1,0,-1.1160393639223982
4,1,1,1,0,-0.374253126206492
3,1,1,1,0,0.3675331115094142
1,1,1,1,0,-0.374253126206492
4,1,1,1,1,1.554391091854864
3,1,0,0,1,0.0708186164230517
4,1,0,1,0,1.7027483393980452
3,1,1,1,1,0.0708186164230517
4,0,1,1,0,0.6642476065957766
2,1,0,0,1,1.2576765967685015
2,1,1,0,1,0.8126048541389579
4,1,1,1,1,1.7027483393980452
4,0,1,0,0,-1.1160393639223982
3,1,0,0,1,0.9609621016821391
1,1,1,0,0,-0.9676821163792169
2,1,0,0,1,0.21917586396623295
4,1,0,1,1,-0.8193248688360357
3,1,0,0,0,-1.2643966114655794
4,1,1,1,1,-0.22589587866331076
3,1,0,0,0,0.6642476065957766
1,0,0,0,1,-1.4127538590087605
3,1,0,0,1,1.1093193492253204
3,1,1,0,1,0.9609621016821391
4,0,1,1,0,1.8511055869412265
4,1,0,0,1,0.5158903590525954
3,1,0,1,1,1.554391091854864
3,1,0,1,0,0.3675331115094142
3,1,0,1,1,1.2576765967685015
2,1,1,0,0,-1.2643966114655794
1,0,1,1,0,-0.8193248688360357
4,0,0,0,1,-1.2643966114655794
4,1,1,1,1,1.7027483393980452
3,1,0,1,0,0.0708186164230517
4,1,0,1,1,-1.2643966114655794
4,1,1,1,1,-0.22589587866331076
1,1,1,1,0,-0.22589587866331076
1,1,1,0,0,-0.8193248688360357
1,1,1,0,0,-0.6709676212928545
4,1,0,1,0,1.8511055869412265
4,0,0,1,0,-0.8193248688360357
4,1,1,1,0,1.4060338443116829
1,1,0,1,0,-1.2643966114655794
4,0,1,1,1,-1.2643966114655794
1,1,0,1,1,-0.6709676212928545
4,0,1,0,0,-1.2643966114655794
1,1,0,1,1,1.554391091854864
2,1,0,1,0,1.8511055869412265
2,1,1,0,1,0.0708186164230517
4,1,1,1,1,-0.8193248688360357
1,1,0,1,0,0.6642476065957766
4,1,1,1,1,0.9609621016821391
2,1,1,0,0,0.6642476065957766
4,0,1,0,1,-1.2643966114655794
4,1,1,0,1,0.9609621016821391
4,0,1,0,1,0.6642476065957766
1,1,1,1,0,-0.374253126206492
1,1,1,0,0,-0.374253126206492
4,1,1,0,1,-1.1160393639223982
2,1,0,0,0,1.2576765967685015
4,0,1,0,0,-0.8193248688360357
4,0,1,0,1,1.4060338443116829
4,1,1,1,1,0.0708186164230517
4,0,1,0,1,0.5158903590525954
4,1,1,1,1,-0.9676821163792169
2,1,0,1,1,-1.2643966114655794
3,1,1,0,0,-0.6709676212928545
3,1,1,0,1,-0.374253126206492
4,1,1,1,0,0.0708186164230517
2,1,1,0,0,-0.9676821163792169
1,1,1,0,0,-0.8193248688360357
4,0,1,0,0,0.3675331115094142
1,1,0,1,0,-1.1160393639223982
4,0,1,0,1,-1.1160393639223982
4,0,1,0,0,1.554391091854864
4,0,0,0,1,-1.2643966114655794
4,1,1,1,1,1.1093193492253204
1,1,1,0,1,0.0708186164230517
4,1,1,1,1,-0.22589587866331076
4,0,0,1,0,-1.2643966114655794
3,1,0,1,0,-0.22589587866331076
4,0,1,1,1,-1.1160393639223982
1,1,0,1,1,0.6642476065957766
1,0,1,0,1,-1.2643966114655794
2,1,0,1,0,0.3675331115094142
2,0,0,0,1,1.7027483393980452
1,1,0,1,1,-0.6709676212928545
1,1,0,1,0,-0.22589587866331076
2,1,1,1,1,-0.22589587866331076
4,0,0,1,1,-0.07753863112012951
3,1,0,1,1,-0.22589587866331076
3,1,0,1,0,0.5158903590525954
3,0,1,1,0,-1.1160393639223982
4,0,0,1,0,0.3675331115094142
3,1,1,1,0,-0.5226103737496732
4,1,1,1,1,-0.5226103737496732
4,0,1,1,1,-0.8193248688360357
2,1,0,1,1,0.21917586396623295
1,0,1,0,1,-1.2643966114655794
4,0,0,1,0,-1.1160393639223982
4,0,1,1,1,1.4060338443116829
2,1,0,1,0,0.5158903590525954
1,0,1,1,1,-0.6709676212928545
4,0,0,1,1,-0.22589587866331076
1,0,1,1,1,1.554391091854864
1,1,1,1,0,0.5158903590525954
2,0,1,0,0,-1.1160393639223982
1,0,1,0,1,-1.2643966114655794
4,1,0,0,1,-0.374253126206492
3,1,0,1,1,1.2576765967685015
2,1,0,1,1,0.3675331115094142
2,1,1,1,0,-0.9676821163792169
1,0,1,0,0,0.5158903590525954
3,1,1,0,1,0.3675331115094142
4,1,0,1,0,-1.1160393639223982
4,0,0,1,1,-1.1160393639223982
4,0,0,1,1,0.6642476065957766
3,1,1,0,0,0.3675331115094142
4,0,1,1,0,-1.1160393639223982
2,1,1,1,0,0.21917586396623295
4,1,1,1,1,0.0708186164230517
4,1,1,1,1,1.7027483393980452
3,0,1,0,1,-1.1160393639223982
1,1,0,1,0,-1.2643966114655794
3,1,0,0,0,0.0708186164230517
2,1,1,1,1,0.6642476065957766
2,1,1,1,0,1.4060338443116829
4,0,0,1,0,-1.1160393639223982
4,0,1,1,0,-0.07753863112012951
3,1,0,1,0,-0.8193248688360357
4,0,0,1,1,-0.9676821163792169
4,1,1,0,0,1.2576765967685015
1,0,1,1,0,-0.5226103737496732
1,1,0,1,0,1.1093193492253204
4,1,0,1,0,0.21917586396623295
3,1,0,1,0,0.3675331115094142
1,1,1,1,0,0.0708186164230517
1,1,0,0,0,-1.2643966114655794
4,1,0,1,0,-1.2643966114655794
1,1,1,0,1,1.4060338443116829
2,1,1,0,0,-0.9676821163792169
1,0,1,1,1,1.554391091854864
1,1,1,1,0,-0.6709676212928545
4,1,1,0,1,1.7027483393980452
3,0,1,1,1,1.554391091854864
3,0,0,1,0,-1.1160393639223982
3,1,0,1,0,-0.8193248688360357
1,0,1,1,0,-0.9676821163792169
3,1,0,1,0,-1.1160393639223982
4,0,0,1,1,0.9609621016821391
3,1,1,1,0,1.7027483393980452
1,1,0,1,0,-1.2643966114655794
2,1,0,1,1,0.9609621016821391
1,1,1,1,0,-0.8193248688360357
3,1,0,0,0,-0.374253126206492
4,1,1,1,0,1.1093193492253204
3,1,0,1,1,-0.07753863112012951
3,1,0,1,1,1.554391091854864
2,1,0,1,1,-0.6709676212928545
1,1,1,0,0,-0.6709676212928545
4,0,1,0,0,-1.1160393639223982
4,1,1,1,0,0.3675331115094142
1,1,0,1,0,-1.1160393639223982
4,1,0,0,1,1.1093193492253204
2,1,1,1,1,0.6642476065957766
4,1,0,1,1,1.554391091854864
4,0,1,1,1,-0.8193248688360357
4,1,1,0,1,0.21917586396623295
2,1,1,1,0,-0.374253126206492
1,0,0,1,0,-1.4127538590087605
4,1,1,0,0,-1.1160393639223982
4,0,0,0,1,1.8511055869412265
4,1,0,1,1,-1.2643966114655794
4,1,1,0,0,-0.8193248688360357
1,1,0,0,0,-0.374253126206492
4,1,1,0,1,-0.07753863112012951
4,1,1,1,0,-0.5226103737496732
4,0,1,0,0,1.1093193492253204
2,1,1,0,0,-0.5226103737496732
1,1,0,1,1,-0.6709676212928545
3,1,1,1,0,0.8126048541389579
4,0,1,0,0,-1.1160393639223982
2,1,1,0,1,0.9609621016821391
3,1,0,1,1,-0.9676821163792169
2,1,0,0,0,0.5158903590525954
3,1,0,0,0,-0.07753863112012951
1,0,0,1,0,-1.4127538590087605
3,1,0,0,1,-1.2643966114655794
4,1,1,0,0,-0.07753863112012951
3,1,0,0,0,-1.2643966114655794
1,1,0,0,0,-1.1160393639223982
3,1,1,1,1,0.5158903590525954
4,0,0,0,1,1.2576765967685015
2,1,0,1,0,0.8126048541389579
4,0,0,1,1,1.554391091854864
1,1,0,0,0,1.4060338443116829
3,1,0,1,0,0.5158903590525954
1,0,1,0,1,-0.9676821163792169
4,1,0,1,1,0.3675331115094142
3,1,0,1,0,-0.5226103737496732
2,1,1,0,0,-0.6709676212928545
4,1,1,0,0,-0.6709676212928545
2,1,0,0,1,1.554391091854864
4,1,0,0,0,1.2576765967685015
1,1,0,0,0,1.554391091854864
4,1,0,0,1,0.21917586396623295
1,1,1,1,0,0.5158903590525954
1,1,1,1,1,1.1093193492253204
3,1,0,0,1,1.2576765967685015
3,1,0,1,0,0.8126048541389579
1,0,1,0,0,-0.9676821163792169
